,Hamming Loss,Accuracy (Exact Match Ratio),Precision (Macro),Recall (Macro),F1-score (Macro),Precision (Samples),Recall (Samples),F1-score (Samples),AUC-ROC (Macro)
Random Forest,0.08386009270965024,0.5398230088495575,0.7616552660181345,0.5112184709621423,0.5939098510803001,0.5398230088495575,0.5427728613569321,0.5408062930186823,0.9077908985063957
Logistic Regression,0.12199747155499367,0.48525073746312686,0.5767533285439218,0.6065576097927711,0.5387721620486036,0.5245821042281219,0.5737463126843658,0.5392330383480827,0.8819172868518889
